,bar_id,bar_name,popularity,rating,price,review_count,num_stations_pinged,empty_slots,free_bikes,total_slots,percent_used
0,55aedbd9498eb6db5d095733,Le 4e Mur,0.97,9.0,3.0,99.0,11.0,12,3,15,80.0
1,4b0c1ff8f964a520603723e3,Le Saint Bock,0.98,8.3,2.0,36.0,9.0,12,3,15,80.0
2,4ad4c06bf964a5203ef920e3,Brasserie Artisanale l'Amère a Boire Inc,0.96,8.1,2.0,131.0,8.0,12,3,15,80.0
3,56ec4544498e27e294330c2b,Cadet,0.98,9.5,2.0,13.0,23.0,12,3,15,80.0
4,4c1009053ce120a19f6d071c,Pub l'Ile Noire,0.98,7.8,2.0,129.0,6.0,12,3,15,80.0
5,5786aca5498e11e46ccfe8e7,Renard,0.98,8.0,3.0,21.0,12.0,12,3,15,80.0
6,4ad4c06bf964a5202af920e3,Le Cheval Blanc,0.98,7.7,2.0,146.0,2.0,12,3,15,80.0
7,4ad4c06ef964a52010fb20e3,Cabaret Mado,0.96,8.3,2.0,16.0,11.0,12,3,15,80.0
8,5536df62498e2325f5f9be5c,Le Red Tiger,0.97,8.0,2.0,137.0,9.0,12,3,15,80.0
9,54767635498ee8c8c4f3ae4e,Patrick'S Pub Irlandais,0.97,7.6,2.0,13.0,2.0,12,3,15,80.0
10,EQCd_CUFrK_gSARL7s01fw,La Distillerie No.1,0.91,9.0,2.0,315.0,21.0,12,3,15,80.0
11,hdJlf4YNdDtQA67nXvFeyw,Arcade MTL,0.36,9.0,1.0,26.0,13.0,12,3,15,80.0
12,SbFWAF3Rhtb-vvl5WUqg_A,Yer'Mad,0.94,9.0,1.0,15.0,11.0,12,3,15,80.0
13,o7MzamFzaLiCFDmfXAmyRA,Le Normandie,0.8,9.0,1.0,8.0,14.0,12,3,15,80.0
14,6yrZA98dlYpoSRMjMOTTuw,Patrick's Pub,0.51,7.0,2.0,25.0,6.0,12,3,15,80.0
15,B5kbcJs8FlS0oF-moPJ6NA,Bistro à Jojo,0.68,8.0,2.0,23.0,11.0,12,3,15,80.0
16,QPq7OiHqyONN9relgqwFZA,Midway,0.01,8.0,2.0,35.0,25.0,12,3,15,80.0
17,rgriAyAgPcs3sZHOrvF8ig,Pub le Sainte-Élisabeth,0.63,8.0,2.0,123.0,16.0,12,3,15,80.0
