,id,alias,name,image_url,is_closed,url,review_count,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,station_id
0,EQCd_CUFrK_gSARL7s01fw,la-distillerie-no-1-montréal-7,La Distillerie No.1,https://s3-media2.fl.yelpcdn.com/bphoto/HEHvlXrk3jRwEmO-U3DVog/o.jpg,False,https://www.yelp.com/biz/la-distillerie-no-1-montr%C3%A9al-7?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,315.0,4.5,[],$$,+15144482461,+1 514-448-2461,250.37165232075566,45.514822,-73.565401,300 Rue Ontario E,,,Montreal,H2X 1H6,CA,QC,"['300 Rue Ontario E', 'Montreal, QC H2X 1H6', 'Canada']",36c6491aa1b52e5ef7005f984738de27
1,RO32EAy8IfnWAm04vCPmzA,le-4e-mur-montréal,Le 4e Mur,https://s3-media2.fl.yelpcdn.com/bphoto/5FUAUP4srPLqVd-P7x_uzQ/o.jpg,False,https://www.yelp.com/biz/le-4e-mur-montr%C3%A9al?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,99.0,4.5,[],$$,+14383968947,+1 438-396-8947,145.03062584949998,45.5161779,-73.5657819,2021 Rue Saint-Denis,,,Montreal,H2X 3K8,CA,QC,"['2021 Rue Saint-Denis', 'Montreal, QC H2X 3K8', 'Canada']",36c6491aa1b52e5ef7005f984738de27
2,XQDWifQPvL2R_c3ptJ8D2g,randolph-pub-ludique-montréal-6,Randolph Pub Ludique,https://s3-media1.fl.yelpcdn.com/bphoto/z5_6vyhgRT4zWfkwBk8gVA/o.jpg,False,https://www.yelp.com/biz/randolph-pub-ludique-montr%C3%A9al-6?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,96.0,4.5,[],$$,+15144195001,+1 514-419-5001,146.93874545198923,45.5164298,-73.5660051,2041 Rue Saint-Denis,,,Montreal,H2X 3K8,CA,QC,"['2041 Rue Saint-Denis', 'Montreal, QC H2X 3K8', 'Canada']",36c6491aa1b52e5ef7005f984738de27
3,hdJlf4YNdDtQA67nXvFeyw,arcade-mtl-montréal,Arcade MTL,https://s3-media3.fl.yelpcdn.com/bphoto/SxiAd7eP8PnNW9jzCKSFBg/o.jpg,False,https://www.yelp.com/biz/arcade-mtl-montr%C3%A9al?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,26.0,4.5,[],$,+15143031123,+1 514-303-1123,137.97650060026317,45.51639,-73.56581,2031 Rue Saint-Denis,,,Montreal,H2X 3K8,CA,QC,"['2031 Rue Saint-Denis', 'Montreal, QC H2X 3K8', 'Canada']",36c6491aa1b52e5ef7005f984738de27
4,SbFWAF3Rhtb-vvl5WUqg_A,yermad-montréal,Yer'Mad,https://s3-media2.fl.yelpcdn.com/bphoto/oHnmVpvDB88UETi4NKDKfA/o.jpg,False,https://www.yelp.com/biz/yermad-montr%C3%A9al?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,15.0,4.5,[],$,+15145229392,+1 514-522-9392,369.23392788909166,45.5171961,-73.559534,901 Boulevard de Maisonneuve E,,,Montreal,H2L 1Z2,CA,QC,"['901 Boulevard de Maisonneuve E', 'Montreal, QC H2L 1Z2', 'Canada']",36c6491aa1b52e5ef7005f984738de27
5,o7MzamFzaLiCFDmfXAmyRA,le-normandie-montréal,Le Normandie,https://s3-media1.fl.yelpcdn.com/bphoto/cSCVUAQfSP7vvDSULHep-A/o.jpg,False,https://www.yelp.com/biz/le-normandie-montr%C3%A9al?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,8.0,4.5,[],$,+15143034013,+1 514-303-4013,606.6899947060251,45.5173105503775,-73.5564899817109,1295 Rue Amherst,,,Montreal,H2L 3K9,CA,QC,"['1295 Rue Amherst', 'Montreal, QC H2L 3K9', 'Canada']",36c6491aa1b52e5ef7005f984738de27
6,6yrZA98dlYpoSRMjMOTTuw,patricks-pub-montréal,Patrick's Pub,https://s3-media3.fl.yelpcdn.com/bphoto/azeJLezT3hDvwtWI6q45hQ/o.jpg,False,https://www.yelp.com/biz/patricks-pub-montr%C3%A9al?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,25.0,3.5,[],$$,+14383827266,+1 438-382-7266,152.94452494679032,45.51563,-73.56398,1707 Rue Saint-Denis,,,Montreal,H2X 3K4,CA,QC,"['1707 Rue Saint-Denis', 'Montreal, QC H2X 3K4', 'Canada']",36c6491aa1b52e5ef7005f984738de27
7,B5kbcJs8FlS0oF-moPJ6NA,bistro-à-jojo-montréal-4,Bistro à Jojo,https://s3-media2.fl.yelpcdn.com/bphoto/Lqy_y6RAjGYNcMKVFvMd5A/o.jpg,False,https://www.yelp.com/biz/bistro-%C3%A0-jojo-montr%C3%A9al-4?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,23.0,4.0,[],$$,+15148435015,+1 514-843-5015,218.46818733532444,45.515150848067,-73.56305627488406,1627 Rue Saint-Denis,,,Montreal,H2X 3K3,CA,QC,"['1627 Rue Saint-Denis', 'Montreal, QC H2X 3K3', 'Canada']",36c6491aa1b52e5ef7005f984738de27
8,QPq7OiHqyONN9relgqwFZA,midway-montréal-3,Midway,https://s3-media4.fl.yelpcdn.com/bphoto/6OOWv7cEcGA1TRiQDjIdTQ/o.jpg,False,https://www.yelp.com/biz/midway-montr%C3%A9al-3?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,35.0,4.0,[],$$,+15143989669,+1 514-398-9669,802.6971226668663,45.50974,-73.563279,1219 Boulevard Saint-Laurent,,,Montreal,H2X 2S6,CA,QC,"['1219 Boulevard Saint-Laurent', 'Montreal, QC H2X 2S6', 'Canada']",36c6491aa1b52e5ef7005f984738de27
9,rgriAyAgPcs3sZHOrvF8ig,pub-le-sainte-élisabeth-montréal,Pub le Sainte-Élisabeth,https://s3-media3.fl.yelpcdn.com/bphoto/Gh_BMpxTPfN6jAQisR8O9Q/o.jpg,False,https://www.yelp.com/biz/pub-le-sainte-%C3%A9lisabeth-montr%C3%A9al?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,123.0,4.0,[],$$,+15142864302,+1 514-286-4302,536.1630715934972,45.51231019999999,-73.56226831411868,1412 Rue Sainte-Élisabeth,,,Montreal,H2X 3C6,CA,QC,"['1412 Rue Sainte-Élisabeth', 'Montreal, QC H2X 3C6', 'Canada']",36c6491aa1b52e5ef7005f984738de27
