,bar_name,popularity,review_count,price,num_stations_pinged,rating,empty_slots,free_bikes,total_slots,percent_used
0,Le 4e Mur,0.97,99.0,3.0,11.0,4.25,12,3,15,80.0
1,Le Saint Bock,0.98,71.0,2.0,9.0,4.15,12,3,15,80.0
2,Brasserie Artisanale l'Amère a Boire Inc,0.96,84.0,2.0,8.0,4.05,12,3,15,80.0
3,Cadet,0.98,93.0,2.0,23.0,4.75,12,3,15,80.0
4,Pub l'Ile Noire,0.98,69.0,2.0,6.0,3.9,12,3,15,80.0
5,Renard,0.98,21.0,3.0,12.0,4.45,12,3,15,80.0
6,Le Cheval Blanc,0.98,61.0,2.0,2.0,3.85,12,3,15,80.0
7,Cabaret Mado,0.96,27.0,2.0,11.0,4.15,12,3,15,80.0
8,Le Red Tiger,0.97,137.0,2.0,9.0,4.1,12,3,15,80.0
9,Patrick'S Pub Irlandais,0.97,98.0,2.0,2.0,3.8,12,3,15,80.0
10,La Distillerie No.1,0.06,315.0,2.0,21.0,4.5,12,3,15,80.0
11,Arcade MTL,0.56,26.0,1.0,13.0,4.5,12,3,15,80.0
12,Yer'Mad,0.88,15.0,1.0,11.0,4.5,12,3,15,80.0
13,Le Normandie,0.73,8.0,1.0,14.0,4.5,12,3,15,80.0
14,Patrick's Pub,1.0,25.0,2.0,6.0,3.5,12,3,15,80.0
15,Bistro à Jojo,0.37,23.0,2.0,11.0,4.0,12,3,15,80.0
16,Midway,0.33,35.0,2.0,25.0,4.0,12,3,15,80.0
17,Pub le Sainte-Élisabeth,0.11,123.0,2.0,16.0,4.0,12,3,15,80.0
18,Pub l'Île Noire,0.78,60.0,2.0,4.0,4.0,12,3,15,80.0
19,Bootlegger l'Authentique,0.04,46.0,2.0,15.0,4.5,12,3,15,80.0
20,Le Mal Nécessaire,0.25,163.0,2.0,29.0,4.0,12,3,15,80.0
21,Stereo,0.91,54.0,3.0,13.0,3.5,12,3,15,80.0
22,Ginkgo,0.21,75.0,2.0,10.0,4.0,12,3,15,80.0
23,Les Foufounes Electriques,0.75,78.0,1.0,18.0,3.5,12,3,15,80.0
24,Bistro au Vieux St-Hubert,0.83,6.0,2.0,10.0,3.5,12,3,15,80.0
25,Le Blossom,0.19,31.0,2.0,8.0,3.0,12,3,15,80.0
26,Madame Smith,0.97,96.0,2.0,7.0,3.95,13,9,22,59.0
27,L'Espace Public-Brasseurs de Quartier,0.98,54.0,2.0,5.0,4.35,13,9,22,59.0
28,Le Trèfle - Taverne Irlandaise,0.97,72.0,2.0,7.0,3.8,13,9,22,59.0
