,bar_name,station_id,popularity,review_count,price,total_counts,rating,empty_slots,free_bikes,latitude,longitude,name
0,Le 4e Mur,36c6491aa1b52e5ef7005f984738de27,0.9660450876704704,99.0,3.0,11.0,4.25,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
1,Le Saint Bock,36c6491aa1b52e5ef7005f984738de27,0.9801108993984028,71.0,2.0,9.0,4.15,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
2,Brasserie Artisanale l'Amère a Boire Inc,36c6491aa1b52e5ef7005f984738de27,0.9608640733049304,84.0,2.0,8.0,4.05,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
3,Cadet,36c6491aa1b52e5ef7005f984738de27,0.9811314022279788,93.0,2.0,23.0,4.75,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
4,Pub l'Ile Noire,36c6491aa1b52e5ef7005f984738de27,0.9757577055100016,69.0,2.0,6.0,3.9,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
5,Renard,36c6491aa1b52e5ef7005f984738de27,0.982351723793416,21.0,3.0,12.0,4.45,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
6,Le Cheval Blanc,36c6491aa1b52e5ef7005f984738de27,0.9835434998251588,61.0,2.0,2.0,3.85,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
7,Cabaret Mado,36c6491aa1b52e5ef7005f984738de27,0.9631976706844504,27.0,2.0,11.0,4.15,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
8,Le Red Tiger,36c6491aa1b52e5ef7005f984738de27,0.9686926859206292,137.0,2.0,9.0,4.1,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
9,Patrick'S Pub Irlandais,36c6491aa1b52e5ef7005f984738de27,0.9720539225131488,98.0,2.0,2.0,3.8,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
10,La Distillerie No.1,36c6491aa1b52e5ef7005f984738de27,0.0625444417041051,315.0,2.0,21.0,4.5,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
