,bar_name,station_id,popularity,review_count,price,total_counts,rating
0,Le 4e Mur,36c6491aa1b52e5ef7005f984738de27,0.9660450876704704,99.0,3.0,11.0,4.25
1,Le Saint Bock,36c6491aa1b52e5ef7005f984738de27,0.9801108993984028,71.0,2.0,9.0,4.15
2,Brasserie Artisanale l'Amère a Boire Inc,36c6491aa1b52e5ef7005f984738de27,0.9608640733049304,84.0,2.0,8.0,4.05
3,Cadet,36c6491aa1b52e5ef7005f984738de27,0.9811314022279788,93.0,2.0,23.0,4.75
4,Pub l'Ile Noire,36c6491aa1b52e5ef7005f984738de27,0.9757577055100016,69.0,2.0,6.0,3.9
5,Renard,36c6491aa1b52e5ef7005f984738de27,0.982351723793416,21.0,3.0,12.0,4.45
6,Le Cheval Blanc,36c6491aa1b52e5ef7005f984738de27,0.9835434998251588,61.0,2.0,2.0,3.85
7,Cabaret Mado,36c6491aa1b52e5ef7005f984738de27,0.9631976706844504,27.0,2.0,11.0,4.15
8,Le Red Tiger,36c6491aa1b52e5ef7005f984738de27,0.9686926859206292,137.0,2.0,9.0,4.1
9,Patrick'S Pub Irlandais,36c6491aa1b52e5ef7005f984738de27,0.9720539225131488,98.0,2.0,2.0,3.8
10,Madame Smith,65f5707d61306518123222b4680bc282,0.9703982815588716,96.0,2.0,7.0,3.95
11,L'Espace Public-Brasseurs de Quartier,65f5707d61306518123222b4680bc282,0.9792117150870282,54.0,2.0,5.0,4.35
12,Le Trèfle - Taverne Irlandaise,65f5707d61306518123222b4680bc282,0.9747800209809672,72.0,2.0,7.0,3.8
13,Le Blind Pig,65f5707d61306518123222b4680bc282,0.9773419826300428,25.0,1.0,7.0,3.45
14,Brasserie de Lasalle Enr,65f5707d61306518123222b4680bc282,0.5996988446195237,24.0,2.0,5.0,4.1
15,La Nef,65f5707d61306518123222b4680bc282,0.7792359787906684,72.0,2.0,7.0,4.1
16,Bar le Bureau,65f5707d61306518123222b4680bc282,0.9100102050282958,26.0,2.0,3.0,4.1
17,Bar l'Assemblée,65f5707d61306518123222b4680bc282,0.9256460211094222,48.0,2.0,4.0,4.1
18,Taverne l'Escale,65f5707d61306518123222b4680bc282,0.9412247461231597,96.0,2.0,4.0,4.1
19,Loupblond,65f5707d61306518123222b4680bc282,0.0338264574279046,34.0,2.0,4.0,4.1
20,Rouge Gorge,0e58810dea9e4869279089cb8576642f,0.9532210066582456,18.0,2.0,11.0,4.1
21,Pub West Shefford,0e58810dea9e4869279089cb8576642f,0.9640326275450128,83.0,2.0,8.0,4.05
22,Bily Kun,0e58810dea9e4869279089cb8576642f,0.956589379634189,68.0,2.0,13.0,4.15
23,La Distillerie No2,0e58810dea9e4869279089cb8576642f,0.968492867184768,58.0,2.0,7.0,4.15
24,Fitzroy,0e58810dea9e4869279089cb8576642f,0.975493659323328,46.0,2.0,8.0,3.8
25,Bar Plan B,0e58810dea9e4869279089cb8576642f,0.9550265116644188,35.0,2.0,7.0,3.85
26,A Bar,0e58810dea9e4869279089cb8576642f,0.9262882956175468,93.0,2.0,2.0,3.85
27,Cafe-Bar le Boudoir,0e58810dea9e4869279089cb8576642f,0.9252606564045474,39.0,1.0,4.0,3.7
28,Le Terminal,0e58810dea9e4869279089cb8576642f,0.9725748785030722,33.0,2.0,6.0,3.75
29,Aux Verres Stérilisés Inc,0e58810dea9e4869279089cb8576642f,0.9487893125521848,73.0,2.0,1.0,3.4
30,132 Bar Vintage,eeda0f4010f34ca2199f3585a76fef66,0.935308684264988,53.0,3.0,3.0,4.15
