,fsq_id,distance,name,popularity,price,rating,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.country,location.cross_street,location.formatted_address,location.locality,location.postcode,location.region,geocodes.drop_off.latitude,geocodes.drop_off.longitude,station_id,location.address_extended,geocodes.front_door.latitude,geocodes.front_door.longitude
0,55aedbd9498eb6db5d095733,132.0,Le 4e Mur,0.9660450876704704,3.0,8.5,45.516216,-73.565568,45.516216,-73.565568,2021 Saint-Denis Rue,CA,rue Ontario,"2021 Saint-Denis Rue (rue Ontario), Montréal QC H2X 3K8",Montréal,H2X 3K8,QC,,,36c6491aa1b52e5ef7005f984738de27,,,
1,4b0c1ff8f964a520603723e3,132.0,Le Saint Bock,0.9801108993984028,2.0,8.3,45.515893,-73.564685,45.515893,-73.564685,1749 Saint-Denis Rue,CA,coin Ontario,"1749 Saint-Denis Rue (coin Ontario), Montréal QC H2X 3K4",Montréal,H2X 3K4,QC,,,36c6491aa1b52e5ef7005f984738de27,,,
2,4ad4c06bf964a5203ef920e3,149.0,Brasserie Artisanale l'Amère a Boire Inc,0.9608640733049304,2.0,8.1,45.516435,-73.565962,45.516435,-73.565962,2049 Saint-Denis Rue,CA,entre Ontario & Sherbrooke,"2049 Saint-Denis Rue (entre Ontario & Sherbrooke), Montréal QC H2X 3K8",Montréal,H2X 3K8,QC,45.516262,-73.56604,36c6491aa1b52e5ef7005f984738de27,,,
3,56ec4544498e27e294330c2b,741.0,Cadet,0.9811314022279788,,9.5,45.510388,-73.564365,45.510388,-73.564365,1431 Saint-Laurent Blvd,CA,entre De Maisonneuve & Ste-Catherine,"1431 Saint-Laurent Blvd (entre De Maisonneuve & Ste-Catherine), Montréal QC H2X 2S8",Montréal,H2X 2S8,QC,45.510179,-73.564462,36c6491aa1b52e5ef7005f984738de27,,,
4,4c1009053ce120a19f6d071c,208.0,Pub l'Ile Noire,0.9757577055100016,2.0,7.8,45.515237,-73.563405,45.515237,-73.563405,1649 Saint-Denis Rue,CA,entre Emery & Ontario,"1649 Saint-Denis Rue (entre Emery & Ontario), Montréal QC H2X 3K4",Montréal,H2X 3K4,QC,,,36c6491aa1b52e5ef7005f984738de27,,,
5,5786aca5498e11e46ccfe8e7,718.0,Renard,0.982351723793416,3.0,8.9,45.519093,-73.555341,45.519093,-73.555341,1272 Sainte-Catherine Rue E,CA,,"1272 Sainte-Catherine Rue E, Montréal QC H2L 2H2",Montréal,H2L 2H2,QC,,,36c6491aa1b52e5ef7005f984738de27,,,
6,4ad4c06bf964a5202af920e3,156.0,Le Cheval Blanc,0.9835434998251588,2.0,7.7,45.51817,-73.564467,45.51817,-73.564467,809 Ontario Rue E,CA,entre St-Hubert & St-Christophe,"809 Ontario Rue E (entre St-Hubert & St-Christophe), Montréal QC H2L 1P1",Montréal,H2L 1P1,QC,,,36c6491aa1b52e5ef7005f984738de27,,,
7,4ad4c06ef964a52010fb20e3,578.0,Cabaret Mado,0.9631976706844504,2.0,8.3,45.517753,-73.556994,45.517753,-73.556994,1115 Sainte-Catherine Rue E,CA,coin Wolfe,"1115 Sainte-Catherine Rue E (coin Wolfe), Montréal QC H2L 2G6",Montréal,H2L 2G6,QC,,,36c6491aa1b52e5ef7005f984738de27,,,
8,5536df62498e2325f5f9be5c,548.0,Le Red Tiger,0.9686926859206292,2.0,8.2,45.519213,-73.557815,45.519213,-73.557815,1201 Blvd de Maisonneuve Est,CA,,"1201 Blvd de Maisonneuve Est, Montréal QC H2L 2A1",Montréal,H2L 2A1,QC,45.519077,-73.557669,36c6491aa1b52e5ef7005f984738de27,,,
9,54767635498ee8c8c4f3ae4e,158.0,Patrick'S Pub Irlandais,0.9720539225131488,,7.6,45.515508,-73.564043,45.515508,-73.564043,1707 Saint-Denis Rue,CA,entre Ontario & De Maisonneuve,"1707 Saint-Denis Rue (entre Ontario & De Maisonneuve), Montréal QC H2X 3K4",Montréal,H2X 3K4,QC,45.515385,-73.564099,36c6491aa1b52e5ef7005f984738de27,,,
10,50cfc6a0e4b00c2caa3b1e57,370.0,Madame Smith,0.9703982815588716,2.0,7.9,45.550052,-73.54168,45.550052,-73.54168,4061 Ontario Rue E,CA,coin Pie-IX,"4061 Ontario Rue E (coin Pie-IX), Montréal QC H1W 1T3",Montréal,H1W 1T3,QC,45.549918,-73.541472,65f5707d61306518123222b4680bc282,,,
11,4f039af102d5cce0cf039639,926.0,L'Espace Public-Brasseurs de Quartier,0.9792117150870282,2.0,8.7,45.545508,-73.544398,45.545508,-73.544398,3632 Ontario Rue E,CA,coin De Chambly,"3632 Ontario Rue E (coin De Chambly), Montréal QC H1W 1R7",Montréal,H1W 1R7,QC,45.545591,-73.544534,65f5707d61306518123222b4680bc282,coin De Chambly,,
12,53b68e72498e8b9d660abb9d,497.0,Le Trèfle - Taverne Irlandaise,0.9747800209809672,,7.6,45.549247,-73.54214,45.549247,-73.54214,3971 Ontario Rue E,CA,coin Charlemagne,"3971 Ontario Rue E (coin Charlemagne), Montréal QC H1W 1T1",Montréal,H1W 1T1,QC,45.54914,-73.541974,65f5707d61306518123222b4680bc282,,,
13,54ff8f33498e0e2e2734aaf2,604.0,Le Blind Pig,0.9773419826300428,1.0,6.9,45.548099,-73.542686,45.548099,-73.542686,3882 Ontario Rue E,CA,,"3882 Ontario Rue E, Montréal QC H1W 1S6",Montréal,H1W 1S6,QC,45.548191,-73.542787,65f5707d61306518123222b4680bc282,,,
14,557e24bb122b43ee5b6f9f09,168.0,Brasserie de Lasalle Enr,0.5996988446195237,,,45.551781,-73.540474,45.551781,-73.540474,4239 Ontario Rue E,CA,,"4239 Ontario Rue E, Montréal QC H1V 1K2",Montréal,H1V 1K2,QC,,,65f5707d61306518123222b4680bc282,,,
