,bar_name,station_id,popularity,fs_price,fs_rating,fs_total_counts,review_count,yelp_rating,yelp_price,yelp_total_counts
0,Le 4e Mur,36c6491aa1b52e5ef7005f984738de27,0.9660450876704704,3.0,8.5,11.0,99.0,4.5,2.0,17.0
1,Le Saint Bock,36c6491aa1b52e5ef7005f984738de27,0.9801108993984028,2.0,8.3,9.0,,,,
2,Brasserie Artisanale l'Amère a Boire Inc,36c6491aa1b52e5ef7005f984738de27,0.9608640733049304,2.0,8.1,8.0,,,,
3,Cadet,36c6491aa1b52e5ef7005f984738de27,0.9811314022279788,2.0,9.5,23.0,,,,
4,Pub l'Ile Noire,36c6491aa1b52e5ef7005f984738de27,0.9757577055100016,2.0,7.8,6.0,,,,
5,Renard,36c6491aa1b52e5ef7005f984738de27,0.982351723793416,3.0,8.9,12.0,21.0,4.0,2.0,13.0
6,Le Cheval Blanc,36c6491aa1b52e5ef7005f984738de27,0.9835434998251588,2.0,7.7,2.0,,,,
7,Cabaret Mado,36c6491aa1b52e5ef7005f984738de27,0.9631976706844504,2.0,8.3,11.0,,,,
8,Le Red Tiger,36c6491aa1b52e5ef7005f984738de27,0.9686926859206292,2.0,8.2,9.0,137.0,4.0,2.0,9.0
9,Patrick'S Pub Irlandais,36c6491aa1b52e5ef7005f984738de27,0.9720539225131488,2.0,7.6,2.0,,,,
10,Madame Smith,65f5707d61306518123222b4680bc282,0.9703982815588716,2.0,7.9,7.0,,,,
11,L'Espace Public-Brasseurs de Quartier,65f5707d61306518123222b4680bc282,0.9792117150870282,2.0,8.7,5.0,,,,
12,Le Trèfle - Taverne Irlandaise,65f5707d61306518123222b4680bc282,0.9747800209809672,2.0,7.6,7.0,,,,
13,Le Blind Pig,65f5707d61306518123222b4680bc282,0.9773419826300428,1.0,6.9,7.0,25.0,3.5,2.0,9.0
14,Brasserie de Lasalle Enr,65f5707d61306518123222b4680bc282,0.5996988446195237,2.0,8.2,5.0,,,,
15,La Nef,65f5707d61306518123222b4680bc282,0.7792359787906684,2.0,8.2,7.0,,,,
16,Bar le Bureau,65f5707d61306518123222b4680bc282,0.9100102050282958,2.0,8.2,3.0,,,,
17,Bar l'Assemblée,65f5707d61306518123222b4680bc282,0.9256460211094222,2.0,8.2,4.0,,,,
18,Taverne l'Escale,65f5707d61306518123222b4680bc282,0.9412247461231597,2.0,8.2,4.0,,,,
19,Loupblond,65f5707d61306518123222b4680bc282,0.0338264574279046,2.0,8.2,4.0,,,,
20,Rouge Gorge,0e58810dea9e4869279089cb8576642f,0.9532210066582456,2.0,8.2,11.0,,,,
21,Pub West Shefford,0e58810dea9e4869279089cb8576642f,0.9640326275450128,2.0,8.1,8.0,,,,
22,Bily Kun,0e58810dea9e4869279089cb8576642f,0.956589379634189,2.0,8.3,13.0,68.0,4.0,2.0,10.0
23,La Distillerie No2,0e58810dea9e4869279089cb8576642f,0.968492867184768,2.0,8.3,7.0,,,,
24,Fitzroy,0e58810dea9e4869279089cb8576642f,0.975493659323328,2.0,7.6,8.0,46.0,3.0,2.0,14.0
25,Bar Plan B,0e58810dea9e4869279089cb8576642f,0.9550265116644188,2.0,7.7,7.0,35.0,3.5,2.0,12.0
26,A Bar,0e58810dea9e4869279089cb8576642f,0.9262882956175468,2.0,7.7,2.0,,,,
27,Cafe-Bar le Boudoir,0e58810dea9e4869279089cb8576642f,0.9252606564045474,1.0,7.4,4.0,,,,
28,Le Terminal,0e58810dea9e4869279089cb8576642f,0.9725748785030722,2.0,7.5,6.0,,,,
